CO_PROCEDIMENTO,NO_PROCEDIMENTO
101010010,ATIVIDADE EDUCATIVA / ORIENTAÇÃO EM GRUPO NA ATENÇÃO PRIMÁRIA
101010028,ATIVIDADE EDUCATIVA / ORIENTAÇÃO EM GRUPO NA ATENÇÃO ESPECIALIZADA
101010036,PRÁTICA CORPORAL / ATIVIDADE FÍSICA EM GRUPO
101010095,PREVENÇÃO DA COVID-19 NAS ESCOLAS
101010109,ATIVIDADES EDUCATIVAS DA POPULAÇÃO SOBRE A TEMÁTICA DAMALÁRIA
101010117,ATIVIDADE DE EDUCAÇÃO PERMANENTE EM SAÚDE DO TRABALHADOR
101020015,AÇÃO COLETIVA DE APLICAÇÃO TÓPICA DE FLÚOR GEL
101020023,AÇÃO COLETIVA DE BOCHECHO FLUORADO
101020031,AÇÃO COLETIVA DE ESCOVAÇÃO DENTAL SUPERVISIONADA
101020040,AÇÃO COLETIVA DE EXAME BUCAL COM FINALIDADE EPIDEMIOLÓGICA
101020058,APLICAÇÃO DE CARIOSTÁTICO (POR DENTE)
101020066,APLICAÇÃO DE SELANTE (POR DENTE)
101020074,APLICAÇÃO TÓPICA DE FLÚOR (INDIVIDUAL POR SESSÃO)
101020082,EVIDENCIAÇÃO DE PLACA BACTERIANA
101020090,SELAMENTO PROVISÓRIO DE CAVIDADE DENTÁRIA
101020104,ORIENTAÇÃO DE HIGIENE BUCAL
101020112,AÇÃO COLETIVA DE PREVENÇÃO DE CÂNCER BUCAL
101020120,ORIENTAÇÃO DE HIGIENIZAÇÃO DE PRÓTESES DENTÁRIAS
101030010,VISITA DOMICILIAR POR PROFISSIONAL DE NÍVEL MÉDIO
101030029,VISITA DOMICILIAR/INSTITUCIONAL POR PROFISSIONAL DE NÍVEL SUPERIOR
101040024,AVALIAÇÃO ANTROPOMÉTRICA
101040032,COLETA EXTERNA DE LEITE MATERNO (POR DOADORA)
101040040,PASTEURIZAÇÃO DO LEITE HUMANO (CADA 5 LITROS)
101040059,ADMINISTRAÇÃO DE VITAMINA A
101040075,MEDIÇÃO DE ALTURA
101040083,MEDIÇÃO DE PESO
101040091,DISPENSAÇÃO DE SUPLEMENTO DE MICRONUTRIENTES EM PÓ - NUTRISUS
101040105,DISPENSAÇÃO DE SUPLEMENTO DE ÁCIDO FÓLICO
101040113,DISPENSAÇÃO DE SUPLEMENTO DE FERRO
101040121,AVALIAÇÃO DO RISCO DE INSEGURANÇA ALIMENTAR
101050011,PRATICAS CORPORAIS EM MEDICINA TRADICIONAL CHINESA
101050020,TERAPIA COMUNITÁRIA
101050046,YOGA
101050054,OFICINA DE MASSAGEM/ AUTO-MASSAGEM
101050062,SESSÃO DE ARTETERAPIA
101050070,SESSÃO DE MEDITAÇÃO
101050089,SESSÃO DE MUSICOTERAPIA
101050097,SESSÃO DE ANTROPOSOFIA APLICADA À SAÚDE
101050100,SESSÃO DE BIODANÇA
101050119,SESSÃO DE BIOENERGÉTICA
101050127,SESSÃO DE CONSTELAÇÃO FAMILIAR
101050135,SESSÃO DE DANÇA CIRCULAR
101050143,SESSÃO DE TERMALISMO
102010056,ATIVIDADES EDUCATIVAS PARA O SETOR REGULADO
102010064,ANÁLISE DE PROJETOS BÁSICOS DE ARQUITETURA
102010072,CADASTRO DE ESTABELECIMENTOS SUJEITOS À VIGILÂNCIA SANITÁRIA
102010145,INSPEÇÃO SANITÁRIA DE HOSPITAIS
102010153,INVESTIGAÇÃO DE EVENTOS ADVERSOS E/OU QUEIXAS TÉCNICAS
102010161,EXCLUSÃO DE CADASTRO DE ESTABELECIMENTOS SUJEITOS À VIGILÂNCIA SANITÁRIA COM ATIVIDADES ENCERRADAS.
102010170,INSPEÇÃO DOS ESTABELECIMENTOS SUJEITOS À VIGILÂNCIA SANITÁRIA
102010188,LICENCIAMENTO DOS ESTABELECIMENTOS SUJEITOS À VIGILÂNCIA SANITÁRIA
102010196,APROVAÇÃO DE PROJETOS BÁSICOS DE ARQUITETURA
102010200,INVESTIGAÇÃO DE SURTOS DE DOENÇAS TRANSMITIDAS POR ALIMENTOS
102010218,INVESTIGAÇÃO DE SURTOS DE INFECÇÃO EM SERVIÇOS DE SAÚDE
102010226,ATIVIDADE EDUCATIVA PARA A POPULAÇÃO
102010234,RECEBIMENTO DE DENÚNCIAS/RECLAMAÇÕES
102010242,ATENDIMENTO À DENÚNCIAS/RECLAMAÇÕES
102010250,CADASTRO DE HOSPITAIS
102010269,LICENCIAMENTO SANITÁRIO DE HOSPITAIS
102010277,CADASTRO DE INSTITUIÇÕES DE LONGA PERMANÊNCIA PARA IDOSOS
102010285,INSPEÇÃO SANITÁRIA DE INSTITUIÇÕES DE LONGA PERMANÊNCIA PARA IDOSOS
102010293,LICENCIAMENTO SANITÁRIO DE INSTITUIÇÕES DE LONGA PERMANÊNCIA PARA IDOSOS
102010307,CADASTRO DE INDÚSTRIAS DE MEDICAMENTOS
102010315,INSPEÇÃO SANITÁRIA DE INDÚSTRIA DE MEDICAMENTOS
102010323,LICENCIAMENTO SANITÁRIO DE INDÚSTRIAS DE MEDICAMENTOS
102010331,CADASTRO DE SERVIÇOS DE DIAGNÓSTICO E TRATAMENTO DO CÂNCER DE COLO DE ÚTERO E MAMA
102010340,INSPEÇÃO SANITÁRIA DE SERVIÇOS DE DIAGNÓSTICO E TRATAMENTO DO CÂNCER DE COLO DE ÚTERO E MAMA.
102010358,LICENCIAMENTO SANITÁRIO DE SERVIÇOS DE DIAGNÓSTICO E TRATAMENTO DO CÂNCER DE COLO DE ÚTERO E MAMA
102010366,CADASTRO DE SERVIÇOS HOSPITALARES DE ATENÇÃO AO PARTO E À CRIANÇA
102010374,INSPEÇÃO SANITÁRIA DE SERVIÇOS HOSPITALARES DE ATENÇÃO AO PARTO E À CRIANÇA
