CO_PROCEDIMENTO,Descricao,ValorTUNEP
415010012,CIRURGIA MULTIPLA,"0,00"
409010243,NEFROPEXIA,"1.077,90"
409010472,TRATAMENTO CIRURGICO DE FISTULAS URETERAIS,"1.073,57"
409040118,EPIDIDIMO DEFERENTE NEOSTOMIA,"634,10"
409040053,ESPERMATOCELECTOMIA,"488,27"
409050016,AMPUTACAO DO PENIS,"1.103,82"
409010510,TRATAMENTO CIRURGICO DA URETEROCELE,"1.044,41"
409010022,CISTECTOMIA PARCIAL,"1.134,90"
409030015,INCISAO E DRENAGEM DE ABSCESSO PROSTATICO,"711,77"
409040096,EXPLORACAO CIRURGICA DA BOLSA ESCROTAL,"623,75"
409040215,TRATAMENTO CIRURGICO DA HIDROCELE,"469,80"
409040037,EPIDIDIMECTOMIA,"634,10"
409040088,EXERESE DE CISTO DO CORDAO ESPERMATICO,"488,27"
409010529,URETERECTOMIA,"1.010,77"
409010030,CISTECTOMIA TOTAL,"2.193,22"
409040010,INCISAO E DRENAGEM DE ABSCESSO DA BOLSA ESCROTAL,"218,31"
409040231,TRATAMENTO CIRURGICO DA VARICOCELE,"520,71"
409040088,EXERESE DE TUMOR DO CORDAO ESPERMATICO,"455,65"
409010537,URETEROCISTONEOSTOMIA,"1.508,62"
409010049,CISTECTOMIA TOTAL E DERIVACAO EM UM SO TEMPO,"2.193,22"
409030031,PROSTATOVESICULECTOMIA,"1.902,41"
409040177,PLASTICA DA BOLSA ESCROTAL,"623,75"
409040169,ORQUIECTOMIA UNILATERAL,"455,16"
409040045,EPIDIDIMECTOMIA COM ESVAZIAMENTO GANGLIONAR,"553,43"
409050083,POSTECTOMIA (CIRCUNCISAO),"369,90"
409010197,LOMBOTOMIA,"1.081,38"
409010545,URETEROENTEROPLASTIA,"2.027,66"
409010057,CISTOENTEROPLASTIA,"2.193,22"
409020010,INCISAO E DRENAGEM DE ABSCESSO PERIURETRAL,"401,92"
409040193,RESSECCAO PARCIAL DA BOLSA ESCROTAL,"623,75"
